npv,ipv,atv,ld,ih,wdi,gii,sec_edu_gap,lab_force_gap,wpsi,country,structural_inequality_index,violence_exposure_index,general_danger_index,economic_empowerment_gap,inequality_attitudes_interaction,education_attitudes_interaction,legal_violence_interaction,predicted_violence,predicted_ipv
34.0,79.0,20.0,39.0,11.0,487.96,0.187,3.200000000000003,21.3,0.736,Chile,-0.2650898713351832,0.4078450008019001,0.1659830132426255,0.0003141105965006,0.1683795918235025,0.0451673536737131,0.0524428991639612,78.99418344370736,78.99418344370736
70.0,86.0,80.0,44.0,6.0,444.55,0.192,7.1000000000000085,12.699999999999996,0.7,China,-0.4066191713853021,2.0518209194435357,0.0386838564864857,0.057232536007422,-0.8502049163820158,1.4443583679988945,0.7791352130864868,85.96942472002212,85.96942472002212
23.0,47.0,20.0,30.0,7.0,325.33,0.12,0.0,16.39999999999999,0.884,Czechia,1.1742907906624072,-0.3570883051883248,-0.5058978536739738,-0.4968750581012571,-0.7458851710098949,0.4422429903656986,0.1155082697284251,47.01029471706441,47.01029471706441
40.0,49.0,33.0,39.0,12.0,335.1,0.073,0.4000000000000057,9.200000000000005,0.871,Germany,1.3460271858872936,-0.1172866840440324,-0.2368801726345973,-0.729081373379826,-0.0599334190505617,0.0275219145252943,-0.0150813513283302,48.99402348752934,48.99402348752934
63.0,71.0,20.0,31.0,9.0,320.65,0.013,0.1000000000000085,9.0,0.932,Denmark,2.017246499204066,-0.2330648578347827,-0.4654831663956715,-0.7659202732278965,-1.2813131653524985,0.4298343767190731,0.0636835519128066,70.98944101321408,70.98944101321408
59.0,50.0,7.0,28.0,35.0,551.32,0.429,-0.5,25.6,0.666,Dominican Republic,-1.1690609515761323,-1.2036675118782458,0.5951635655551786,-0.1990816769920801,1.4330727786854296,0.9732215923459372,0.5102706266229172,50.00807936953921,50.00807936953921
26.0,58.0,64.0,65.0,7.0,546.91,0.443,-5.0,51.7,0.645,Egypt,-2.860156599569056,1.3487090842980891,0.6905803379363648,0.344748185382155,-3.901123029585425,-2.281935883716861,1.934764319946537,58.00955155191011,58.00955155191011
17.0,29.0,16.0,15.0,5.0,212.04,0.057,4.700000000000003,9.699999999999996,0.859,Spain,1.6101175499320577,-0.9201812862662028,-1.1057332209656543,-0.2902270718538923,-1.3153351250531655,-0.181294283364898,0.9909454814309973,28.994025552022965,28.994025552022965
52.0,58.0,11.0,17.0,12.0,309.92,0.083,4.400000000000006,7.800000000000004,0.864,France,1.5925160950538175,-0.7441821152662376,-0.6745973301984338,-0.391117611295158,-1.662734857057956,-0.1705188491967998,0.7266530035592913,57.986208028026866,57.986208028026866
40.0,64.0,20.0,15.0,10.0,296.85,0.098,0.0,9.099999999999994,0.86,United Kingdom,1.7241747383611252,-0.1087239056464393,-0.7806580979672256,-0.7719203340014508,-1.0951600572869915,0.4422429903656986,0.1170850403413885,63.990807479220486,63.990807479220486
6.0,42.0,20.0,22.0,5.0,337.8,0.119,7.899999999999991,14.800000000000004,0.766,Greece,0.4767044773952499,-0.2601801734067454,-0.6420504421430545,0.2144975838548282,-0.3027928035121236,-0.5380374877176385,0.1887091575977492,41.99758105313495,41.99758105313495
17.0,29.0,20.0,22.0,10.0,286.53,0.093,3.0,12.9,0.862,Croatia,1.317840167951076,-0.7900188598795141,-0.6918906238854591,-0.3357119524220674,-0.8370647601531639,0.0699845809669626,0.5730021299552729,29.00712986287591,29.00712986287591
17.0,47.0,15.0,19.0,18.0,375.89,0.221,1.2000000000000028,15.1,0.835,Hungary,0.8241390876887202,-0.4348130958776774,-0.3496598412741822,-0.4286420723240987,-0.710699266635227,0.3982536561506258,0.3808909731978211,47.01341366580693,47.01341366580693
30.0,66.0,51.0,54.0,3.0,442.1,0.444,7.200000000000003,28.0,0.7,Indonesia,-2.0523608570249885,1.0992107245609888,0.1445141313087344,0.6434650966252193,-1.5870931803529569,0.5492872540125457,0.9695206250159796,65.99115146916787,65.99115146916787
19.0,83.0,74.0,44.0,30.0,541.25,0.49,12.0,50.89999999999999,0.595,India,-3.6019307748987925,2.4925742065317054,0.7438915103129694,1.975132964774322,-6.5494011668732215,2.996606702583292,0.9465018692112058,82.99609613007209,82.99609613007209
29.0,33.0,20.0,19.0,4.0,247.31,0.074,-2.0999999999999943,12.099999999999994,0.892,Ireland,1.8567692486509637,-0.8448845006930422,-0.9598718192484136,-0.8640119186967312,-1.1793813419712738,0.7028238769448133,0.7401085265363304,33.00669962903959,33.00669962903959
26.0,59.0,34.0,85.0,11.0,553.11,0.459,4.400000000000006,53.7,0.557,Iran (Islamic Republic of),-4.257691481304247,0.4012635973415462,1.115651171000435,1.338276657721129,-0.0038689519039546,0.0001484063091356,0.9787235180974588,58.988524296015896,58.988524296015896
29.0,42.0,11.0,22.0,5.0,323.19,0.056,7.5,17.700000000000003,0.827,Italy,0.8799465739054738,-0.8787955615704928,-0.68230259236545,0.2846909283976685,-0.9187460304643964,-0.8028255866490438,0.6373920347318408,41.99924473500818,41.99924473500818
70.0,34.0,23.0,37.0,3.0,366.2,0.083,-3.200000000000003,17.700000000000003,0.866,Japan,1.1745126701513624,-1.2991746256351262,-0.3492277498476571,-0.7604641294591237,-0.5859346655795137,0.659207333697666,-0.0365432476095539,34.01023624399407,34.01023624399407
