education_ordinal,is_married,emp_unemployed,age_scaled,income_scaled,vawg_rate,young_unmarried,low_education_unemployed,married_unemployed,age_income,education_income,age_group_young,age_group_middle,economic_vulnerability,empowerment_score,high_vawg_environment,emp_employed,emp_semi employed,violence,married_low_income,young_unemployed,predicted_violence
1,1,False,-0.9559278054636194,2.0071429719852536,23.165180722891563,0,0,0,-1.9186837764615905,2.0071429719852536,1,0,1,2,1,False,True,0,0,0,0.15528751719957137
2,1,False,-0.9559278054636194,1.843032489501198,17.350361445783133,0,0,0,-1.7618060030870315,3.686064979002396,1,0,0,3,0,False,True,0,0,0,0.05707467599159612
2,1,False,-0.9559278054636194,2.3016109504610194,17.350361445783133,0,0,0,-2.200173904905238,4.603221900922039,1,0,0,3,0,False,True,0,0,0,0.049038020536366626
2,1,False,-0.9559278054636194,2.360212024077701,17.350361445783133,0,0,0,-2.256192300605444,4.720424048155402,1,0,0,3,0,False,True,0,0,0,0.04809182038540524
0,1,False,-0.8522652973636273,2.0788458692975813,25.900963855421686,0,0,0,-1.7717281929700517,0.0,1,0,1,1,1,False,True,0,0,0,0.25858867342698016
0,1,False,-0.6449402811636431,2.360212024077701,25.900963855421686,0,0,0,-1.5221958064144836,0.0,0,1,1,1,1,False,True,0,0,0,0.050185585833074975
1,1,False,-0.6449402811636431,2.0071429719852536,23.165180722891563,0,0,0,-1.2944873526877998,2.0071429719852536,0,1,1,2,1,False,True,0,0,0,0.03658209187670834
1,1,False,-0.6449402811636431,2.186976489604193,23.165180722891563,0,0,0,-1.4104692321036056,2.186976489604193,0,1,1,2,1,False,True,0,0,0,0.034430615722218894
2,0,False,-0.6449402811636431,2.1374362329785046,17.350361445783133,0,0,0,-1.378518725066515,4.274872465957009,0,1,0,3,0,False,True,0,0,0,0.011154254968172633
1,1,False,-0.5412777730636511,2.0788458692975813,23.165180722891563,0,0,0,-1.1252330626759648,2.0788458692975813,0,1,1,2,1,False,True,0,0,0,0.04375960969460245
2,1,False,-0.5412777730636511,2.186976489604193,17.350361445783133,0,0,0,-1.183761764035519,4.373952979208386,0,1,0,3,0,False,True,0,0,0,0.013515077134818176
2,1,False,-0.5412777730636511,2.713352483278206,17.350361445783133,0,0,0,-1.468677389685555,5.426704966556412,0,1,0,3,0,False,True,0,0,0,0.011269901733601727
0,1,False,-0.4376152649636589,2.3016109504610194,25.900963855421686,0,0,0,-1.007220085929258,0.0,0,1,1,1,1,False,True,0,0,0,0.07609081958262946
1,1,False,-0.4376152649636589,2.1374362329785046,23.165180722891563,0,0,0,-0.9353747234378134,2.1374362329785046,0,1,1,2,1,False,True,0,0,0,0.05249643057922311
1,1,False,-0.4376152649636589,2.1374362329785046,23.165180722891563,0,0,0,-0.9353747234378134,2.1374362329785046,0,1,1,2,1,False,True,0,0,0,0.05249643057922311
2,1,False,-0.4376152649636589,2.0788458692975813,17.350361445783133,0,0,0,-0.9097346859112688,4.157691738595163,0,1,0,3,0,False,True,0,0,0,0.017278404237096288
2,1,False,-0.4376152649636589,2.409759931313054,17.350361445783133,0,0,0,-1.0545477308403706,4.819519862626108,0,1,0,3,0,False,True,0,0,0,0.015420644530644682
1,1,False,-0.2302902487636747,2.037768188225576,23.165180722891563,0,0,0,-0.4692781429891707,2.037768188225576,0,1,1,2,1,False,True,0,0,0,0.08055115597142408
