country,economic_development_index,gender_inequality_composite,youth_vulnerability_index,freedom_index,maternal_health_risk,econ_gender_interaction,freedom_inequality_interaction,youth_compound_risk,wpsi,seats_parliament,maternal_mortality,ip_violence_missing,wpsi_missing,ip_violence,predicted_ipv
Eritrea,-2.5501883092164728,0.8149628905678908,0.0966734825777613,-0.3417784284024058,0.972659771180866,-2.078308835971499,-0.2785367359445755,-0.0620083387595519,0.5534598629733485,22.0,480.0,1,1,30.408878597973413,32.765110411727186
Spain,1.6240602675227946,-1.9819559839850416,-0.2816120409995892,1.051877199039508,-0.8357068387929361,-3.2188159655691506,-2.0847743090537776,0.2039993363954682,0.859,42.3,4.0,0,0,15.0,20.91395479116848
Estonia,1.8036332160054669,-1.280808896606932,-0.7479610279097798,1.5284090039501366,-0.7919721438987007,-2.310109469275574,-1.9575998499134744,0.962572041701914,0.892,25.7,9.0,0,0,21.0,21.37501524797729
Ethiopia,-2.208243653442413,0.1622357293706469,0.2159874136101879,-1.1611003678221363,0.8616088572066605,-0.3582560197443319,-0.1883719650461507,-0.0118738775404288,0.521,39.5,401.0,0,0,37.0,32.17202313826482
Finland,1.7525402929888712,-2.597928435505472,-0.8529249529113959,1.3642853589766182,-0.8654003155724048,-4.552974261524879,-3.5443157282291464,0.7298318714332364,0.924,46.0,3.0,0,0,23.0,21.115876568729313
Fiji,-0.3120904643172751,0.052342741382588,0.1591325053238304,0.2165168785699649,-0.5012949457378874,-0.0163356704617309,0.0113330869799529,-0.4603150076575774,0.738,21.6,34.0,0,0,52.0,27.234712995552055
France,1.539219819439884,-1.755316651558387,-0.7921861771815037,0.7913855246604631,-0.7850091795270816,-2.701818179471522,-1.3891321892387811,0.8013098833954572,0.864,37.8,8.0,0,0,22.0,20.872234091606412
Micronesia (Federated States of),-1.4156608155549708,1.12818765092071,-0.1742447498119241,-0.1814460377253187,-0.2646087911371399,-1.597131050001459,-0.2047051790701979,0.0186847134690731,0.636723667491957,7.1,88.0,0,1,35.0,30.32570259281232
Gabon,-0.6352965938288774,1.6459914095209462,1.848189705576336,-0.4334060110651446,0.8216530104584427,-1.04569273594025,-0.7133825710479682,1.4670084526424088,0.593,18.7,252.0,0,0,41.0,31.366827999682748
United Kingdom,1.749512324339214,-1.643546169755237,-0.5772193505191135,1.2039759719883456,-0.7741187393178459,-2.875404279607297,-1.978790097238784,0.426204469710758,0.86,31.1,7.0,0,0,24.0,21.63010817205351
Georgia,1.2456766875704537,-0.2408530030108185,-0.4864722879987171,0.8986169694268786,-0.4569564869688586,-0.3000249709819129,-0.2164345956429446,-0.0198884394590151,0.812,19.3,25.0,0,0,10.0,21.781446748776368
Ghana,-0.6017504417088106,1.4570478570075112,-0.1637681521054599,0.1932128068494348,0.5914443563775084,-0.8767791915451458,0.2815203061663751,-0.2846210518199803,0.651,14.5,308.0,0,0,24.0,29.52057461574837
